,,,,,,,,,,,,,,,,
,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,계,,"₩1,376"
010-6785-1568-1 연금(신),,,,,,,,,,,,,,,,
TIGER S&P500,,,,,,,,,,,₩440,,,₩440,,
,,,,,,,,,,,,,,,,
133-46-000462 연금(구),,,,,,,,,,,,,,,,
TIGER BBIG,,,,,₩40,,,,,,,,,₩40,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
직투,,,,,,,,,,,,,,,,
QQQ(인베스코 QQQ),,,,,$0.12,,,$0.23,,,$0.29,,$0.64,,,
O,,$0.06,$0.11,$0.17,$0.22,$0.27,$0.33,$0.37,$0.42,$0.46,$0.51,$0.57,$3.49,,,
애플,,$0.10,,,$0.12,,,$0.15,,,$0.17,,$0.54,,,
VNQ,,,$0.37,,,$0.36,,,$0.59,,,$0.96,$2.28,,,
nVidia,,,$0.02,,,,$0.03,,$0.04,,,$0.05,$0.14,,,
CREDIT SWISS,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.12,,,
MS,,,$0.16,,,$0.25,,,$0.34,,,$0.49,$1.24,,,
STARBUCKS,,$0.47,,,$0.57,,,$0.68,,,$0.93,,$2.65,,,
SPHD,,,,,,,,,,,,,$0.00,,,
버라이존,,$0.34,,,$0.34,,,$0.34,,,$0.34,,$1.36,,,
JP MORGAN,,$0.11,,,$0.11,,,$0.11,,,$0.11,,$0.44,,,
AMT,$0.45,,,,$0.56,,$0.66,,,$0.75,,,$2.42,,,
SPDR,$0.06,$0.03,$0.05,$0.07,$0.01,$0.07,$0.06,$0.01,$0.07,$0.07,$0.02,$0.06,$0.58,,,
코카콜라,,,,$0.65,,,$0.76,,,$0.91,,$1.14,$3.46,,,
나이키,,,,$0.10,,,$0.10,,,$0.10,,$0.11,$0.41,,,
펩시코,$0.24,,,$0.24,,,$0.26,,,$0.26,,,$1.00,,,
퀄컴,,,$0.12,,,$0.36,,,$0.57,,,$0.82,$1.87,,,
맥도날드,,,$0.10,,,$0.10,,,$0.10,,,$0.16,$0.46,,,
에스티 로더,,,$0.03,,,$0.03,,,$0.03,,,$0.03,$0.12,,,
MSCI,,$0.08,,,$0.16,,,,$0.30,,$0.41,,$0.95,,,
블리자드,,,,,$0.18,,,,,,,,$0.18,,,
,,,,,,,,,,,,,계,환산,,
계,$0.76,$1.20,$0.97,$1.24,$2.40,$1.45,$2.21,$1.90,$2.47,$2.56,$2.79,$4.40,$24.35,"₩33,506",,
환산,"₩1,046","₩1,651","₩1,335","₩1,706","₩3,302","₩1,995","₩3,041","₩2,614","₩3,399","₩3,523","₩3,839","₩6,054",,,,
,,,,,,,,,,,,,총계,"₩33,986",,
총계,"₩1,046","₩1,651","₩1,335","₩1,706","₩3,342","₩1,995","₩3,041","₩2,614","₩3,399","₩3,523","₩4,279","₩6,054",,,,
