,,,,,,,,,,,,,,,,
,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,,계,,
010-6785-1568-1 연금(신),,,,,,,,,,,,,,,,"₩1,376"
TIGER 미국배당다우존스,,,,,,,,"₩4,650","₩6,086","₩5,907","₩5,370","₩12,669",,"₩34,682",,
SOL 미국배당다우존스,,,,"₩1,160",₩800,"₩2,970","₩7,360","₩5,980","₩7,360","₩6,210","₩5,980",,,"₩37,820",,
TIGER S&P500,,₩800,,,"₩1,650",,,"₩1,650",,,,,,"₩4,100",,
ACE 미국배당다우존스,,,,,,,,"₩5,600",,,,,,"₩5,600",,
ACE 미국고배당,,,,,₩500,,,,,,,,,₩500,,
ARIRANG 고배당,,,,,"₩14,600",,,,,,,,,"₩14,600",,
,,,,,,,,,,,,,,,,
133-46-000462 연금(구),,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,,,,,,,,"₩30,000","₩35,938","₩35,673","₩35,760","₩53,710",,"₩191,081",,
ACE 미국나스닥,,,,,,,,"₩1,200",,,"₩1,400",,,"₩2,600",,
TIGER 미국나스닥,,,,,,,,,,,"₩2,250",,,"₩2,250",,
SOL 미국배당다우존스,,,,,,,₩320,₩260,,,,,,₩580,,
TIGER BBIG,,,,,₩160,,,,,,,,,₩160,,
,,,,,,,,,,,,,,,,
IRP,,,,,,,,,,,,,,,,
TIGER 미국배당다우존스,,,,,,,,,,,,"₩32,759",,"₩32,759",,
KB RISE 25-11 회사채,,,,,,,,,,,,"₩7,410",,"₩7,410",,
,,,,,,,,,,,,,,,,
계,₩0,₩800,₩0,"₩1,160","₩17,710","₩2,970","₩7,680","₩49,340","₩49,384","₩47,790","₩50,760","₩106,548",,,,
,,,,,,,,,,,,,,,,
직투,,,,,,,,,,,,,계,,,
SPLG,,,,,,,,,0.21,,,0.4,0.61,,,
QQQ(인베스코 QQQ),0.46,,,,0.41,,,0.46,,0.48,,,1.81,,,
QQQM(인베스코 나스닥100),,,,,,0.05,,,0.12,,,0.29,0.46,,,
SCHD,,,,,,3.11,,,6.28,,,14.17,23.56,,,
O,0.65,0.76,0.83,0.88,0.94,1.86,1.92,1.98,2.05,2.38,2.51,3.76,20.52,,,
애플,,0.22,,,0.24,,,0.28,,,0.3,,1.04,,,
VNQ,,,0.93,,,,3.06,,,2.68,,,6.67,,,
nVidia,,,0.05,,,,0.04,,,0.04,,,0.13,,,
JEPI,,,,,,,0.31,0.25,,,,,0.56,,,
CREDIT SWISS,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,0.07,,,
MS,,,0.58,,,0.58,,,,,,,1.16,,,
STARBUCKS,,1.16,,,1.36,,,,,,,,2.52,,,
SPHD,,,,0.03,0.03,,,,,,,,0.06,,,
버라이존,,0.78,,,1.16,,,,,,,,1.94,,,
JP MORGAN,,0.18,,,0.18,,,,,,,,0.36,,,
AMT,,0.8,,,0.8,,,,,,,,1.6,,,
SPDR,0.09,0.04,0.06,0.1,,,,,,,,,0.29,,,
코카콜라,,,,1.59,,,,,,,,,1.59,,,
나이키,,,,0.11,,,,,,,,,0.11,,,
SPG,0.15,,,0.56,,,,,,,,,0.71,,,
펩시코,0.3,,,0.31,,,,,,,,,0.61,,,
퀄컴,,,0.85,,,,,,,,,,0.85,,,
맥도날드,,,0.19,,,,,,,,,,0.19,,,
에스티 로더,,,0.03,,,,,,,,,,0.03,,,
엑슨모빌,,,0.31,,,,,,,,,,0.31,,,
MSCI,,,0.47,,,,,,,,,,0.47,,,
,,,,,,,,,,,,,합계,환산,,
계,$1.66,$3.95,$4.31,$3.59,$5.13,$5.61,$5.34,$2.97,$8.66,$5.58,$2.81,$18.62,68.23,"₩93,884",,
환산,"₩2,284","₩5,435","₩5,931","₩4,940","₩7,059","₩7,719","₩7,348","₩4,087","₩11,916","₩7,678","₩3,867","₩25,621",,,,
,,,,,,,,,,,,,총계,"₩428,026",,
총계,"₩2,284","₩6,235","₩5,931","₩6,100","₩24,769","₩10,689","₩15,028","₩53,427","₩61,300","₩55,468","₩54,627","₩132,169",,,,
